0,T,E
PL19-3-A01ST1,817,1
PL19-3-A01,2240,1
PL19-3-A03ST3,2894,1
PL19-3-A05ST7,2027,1
PL19-3-A08ST4,698,1
PL19-3-A09ST5,874,1
PL19-3-A10ST1,1149,1
PL19-3-A11ST1,2226,1
PL19-3-A15ST3,1993,1
PL19-3-A18ST4,1777,1
PL19-3-A19ST2,2072,1
PL19-3-A20ST2,2635,1
PL19-3-A22ST6,425,1
PL19-3-A23ST5,1103,1
PL19-3-A24ST5,209,1
PL19-3-A01ST1,817,0
PL19-3-A01,2240,0
PL19-3-A06ST3,957,0
PL19-3-A08ST3,758,0
PL19-3-A09ST5,1201,0
PL19-3-A09ST5,894,0
PL19-3-A11ST1,542,0
PL19-3-A22ST6,1887,0
PL19-3-A23ST3,1411,0
PL19-3-A24ST5,2072,0
